epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,7110.98,1.48342,1.26655,1.59862,0.81087,0.72881,0.81199,0.40955,1.48125,0.86567,1.84247,0.00104537,0.00104537,0.00104537
146,7156.42,1.53087,1.2937,1.58709,0.81895,0.69575,0.78202,0.39583,1.51456,0.8791,1.88087,0.000995197,0.000995197,0.000995197
147,7199.95,1.51758,1.29215,1.59213,0.77978,0.73883,0.77691,0.39557,1.52077,0.86629,1.88434,0.000946264,0.000946264,0.000946264
148,7244.35,1.52133,1.29675,1.62515,0.77529,0.70024,0.7986,0.40452,1.52005,0.87429,1.88652,0.000898581,0.000898581,0.000898581
149,7288.21,1.48187,1.2526,1.61484,0.8724,0.66775,0.80759,0.40948,1.5198,0.86801,1.88727,0.000852162,0.000852162,0.000852162
150,7333.75,1.53621,1.29803,1.61598,0.81685,0.68524,0.79359,0.40587,1.53821,0.87145,1.89611,0.000807022,0.000807022,0.000807022
151,7377.27,1.48303,1.2676,1.59677,0.85236,0.6548,0.77799,0.39649,1.50487,0.87644,1.87644,0.000763174,0.000763174,0.000763174
152,7422.32,1.47357,1.25945,1.61992,0.81708,0.68389,0.79038,0.39984,1.49283,0.86644,1.88215,0.000720632,0.000720632,0.000720632
153,7463.13,1.5566,1.31952,1.58351,0.83264,0.65721,0.77101,0.38945,1.53202,0.90546,1.90182,0.000679409,0.000679409,0.000679409
154,7505.63,1.52285,1.29224,1.58616,0.79451,0.65614,0.78674,0.4014,1.54904,0.89936,1.91208,0.000639518,0.000639518,0.000639518
155,7547.9,1.48631,1.24959,1.58559,0.82705,0.64936,0.78363,0.39608,1.54321,0.89632,1.89557,0.000600969,0.000600969,0.000600969
156,7590.9,1.4416,1.24104,1.62379,0.80571,0.71478,0.80757,0.38853,1.52073,0.85453,1.87645,0.000563776,0.000563776,0.000563776
157,7637.62,1.4526,1.24208,1.62456,0.75047,0.69351,0.80917,0.38539,1.52279,0.85461,1.87281,0.00052795,0.00052795,0.00052795
158,7681.96,1.51444,1.2734,1.58679,0.7845,0.72993,0.80084,0.38585,1.53884,0.88557,1.89394,0.000493501,0.000493501,0.000493501
159,7724.8,1.48956,1.2511,1.59005,0.79946,0.70468,0.80922,0.38817,1.52345,0.87582,1.89407,0.00046044,0.00046044,0.00046044
160,7769.84,1.43729,1.23606,1.62306,0.78955,0.7411,0.80184,0.39374,1.5142,0.87086,1.88193,0.000428777,0.000428777,0.000428777
